312.928512	314.135163	s overlap
315.009211	316.041825	s
316.231331	318.393246	whistle
319.004306	319.982776	s
320.114263	320.245760	chuck
320.508753	320.647982	chuck
320.702125	320.872293	noise
320.899365	321.011519	chuck
321.487221	322.639727	s overlap
322.778956	323.691678	s
323.765160	324.724292	s overlap
324.793900	325.710497	s whistle
325.714354	327.292290	s (human noise)
326.642557	326.897810	noise
327.493401	327.914943	whistle
328.015509	328.116063	chuck
328.344240	328.460272	chuck
328.599501	328.789002	chuck
328.843152	328.990113	chuck
329.013311	329.125465	chuck
329.013311	329.976327	s
329.542083	329.542083	s
330.014989	330.707256	s
330.239303	330.452014	noise
331.248713	331.476893	chuck
331.589048	331.747619	chuck
331.747619	331.940998	chuck
332.006735	332.169161	chuck
332.188503	332.397347	chuck
333.805109	335.557073	s overlap
336.257075	336.860408	whistle
336.864277	338.113470	s overlap
338.662653	338.836689	chuck
338.910159	339.057143	chuck
339.045416	340.151626	s overlap (rattle)
341.311867	341.470433	chuck
341.594195	341.756621	chuck
342.406349	342.851111	outside bird
343.183722	343.655553	s
343.667155	344.282083	s
344.475456	345.473263	s
345.979902	347.693190	s overlap
347.882698	348.145692	outside bird
348.346803	348.594308	outside bird
350.060081	350.199310	chuck
350.315329	350.470023	chuck
350.524172	350.628594	chuck
350.702086	350.845170	chuck
350.922517	351.057891	chuck
351.382756	352.341888	s overlap
352.446310	353.254611	s
353.622018	353.931429	outside bird
354.952426	355.207687	outside bird
356.278971	357.628718	whistle
357.737007	357.996122	chuck
358.104417	358.703874	s burble
358.761886	359.539248	s burble
359.554717	359.798367	outside bird
359.956939	360.088435	outside bird
360.188980	360.374626	outside bird
360.502247	361.121042	s
364.238231	365.232154	s overlap
365.352053	365.645981	whistle
365.816150	367.606788	s
368.674218	368.863719	chuck
369.381950	369.706825	outside bird
369.830590	369.946599	chuck
371.350499	373.013515	s overlap
373.454014	373.738662	outside bird
375.332676	376.319433	s
378.137914	378.253923	chuck
378.339025	378.458912	chuck
378.435692	379.855057	s
382.361179	382.461746	outside bird
383.177211	383.815351	s burble
383.970045	384.944649	s
385.474490	386.464566	s
386.510975	386.727551	outside bird
387.837528	388.143039	s whistle
388.243605	388.498844	outside bird
388.761837	388.912676	chuck
389.485057	390.301088	s overlap
390.564082	391.233152	outside bird
391.248617	391.372381	chuck
391.693379	393.101134	s
394.272993	394.628798	outside bird
395.839320	396.055896	burble
396.728821	398.109524	s overlap
398.422789	399.080249	s
400.418390	400.553764	chuck
400.673651	401.153220	chuck
401.679184	402.232245	whistle
402.762086	402.920658	chuck
403.307392	404.633946	s
404.881451	405.828980	s
407.109115	407.983152	s whistle
409.727392	411.026871	noise
411.564444	412.264444	s burble
412.279932	413.084354	s
413.343469	413.985465	s whistle
415.783855	417.021429	s
419.276168	419.894966	outside bird
420.861837	421.646939	s whistle
421.646939	422.374014	s
423.785646	424.114376	outside bird
424.752517	425.773515	s
425.831542	426.191202	s burble
426.790658	427.382381	outside bird
428.233220	428.747596	outside bird
429.304512	429.826621	outside bird
429.985193	430.654263	outside bird
430.824444	431.404555	noise
431.358141	431.628866	burble
432.085238	432.626667	outside bird
435.067052	435.643311	outside bird
436.169274	436.470930	outside bird
437.546100	438.253832	s
438.253832	439.796961	s
439.854966	440.338413	outside bird
441.135102	442.353356	s burble
442.477120	442.747846	outside bird
443.192600	444.507528	s burble
444.553946	445.482132	s
445.923039	446.418073	s whistle
446.909229	447.114218	outside bird
447.133560	447.698209	whistle
448.239637	448.363401	chuck
448.363401	448.491043	chuck
448.881655	449.059546	chuck
450.567868	451.492200	s whistle
451.735850	451.871202	chuck
451.967891	452.091655	chuck
452.091655	452.261814	chuck
453.398844	454.605510	s
456.906644	457.946984	s weird
457.981791	458.600590	outside bird
458.863583	458.998957	chuck
459.072426	459.180726	chuck
459.234853	459.350884	chuck
459.289002	460.433787	s
461.945964	462.734921	s
462.758118	463.090726	s overlap
463.090726	463.744331	s
463.883560	464.881361	s
466.474762	466.915646	outside bird
467.522857	467.843855	outside bird
468.141633	469.135578	s
469.294150	469.700227	outside bird
469.874263	470.957166	s
471.142789	471.382585	outside bird
472.527347	472.720726	chuck
472.941179	473.180952	chuck
473.235102	473.351134	chuck
474.832358	475.601995	s
475.601995	475.930726	s overlap
476.576599	477.400363	s
478.216395	478.378844	outside bird
478.653424	479.840726	s
480.177211	480.374444	outside bird
480.784399	482.145737	s
482.783878	483.804898	s
487.115442	488.755261	s
488.940891	489.776263	s whistle
489.791723	490.998390	s
491.458617	491.872426	s
491.911111	492.560839	s
493.229909	493.338209	chuck
495.817256	497.159252	noise
497.731655	497.824467	chuck
498.006236	498.106780	chuck
498.172540	498.238277	chuck
498.261497	499.820091	s overlap
500.075329	501.165964	s whistle
502.136689	502.983673	s whistle
504.051088	504.464921	outside bird
504.708571	504.890340	outside bird
505.454989	506.282630	s
506.305828	508.042313	s overlap
508.893152	509.013061	chuck
509.032381	509.763333	s
510.142358	510.772744	s burble
513.042948	514.431383	s overlap
514.736916	515.011497	burble
515.827528	515.943560	chuck
516.171746	516.806009	whistle
516.844671	517.869546	s overlap
518.364603	518.484490	chuck
518.658526	518.766803	chuck
518.820952	518.917642	chuck
519.861315	520.600000	s
520.758549	521.922676	s
523.840930	524.343696	whistle
524.366916	524.827143	s
524.827143	525.283492	s overlap
525.589025	526.327710	whistle
526.343175	526.942630	whistle
528.818367	529.994082	s overlap
530.028889	531.200726	s
532.306825	532.461519	chuck
532.879206	533.981429	s
534.665964	534.805193	chuck
534.820680	535.656054	s
536.665465	537.036735	burble
537.895306	538.119615	outside bird
538.278186	538.421293	chuck
538.529569	540.006939	s overlap
540.366621	540.648957	chuck
541.720249	542.010295	chuck
542.632971	542.768322	chuck
542.837937	543.812540	s
543.855079	544.671111	s burble
545.320862	545.436871	chuck
545.684399	545.831361	chuck
545.900975	546.082744	chuck
546.121429	547.157891	whistle
547.196576	548.144104	close to mic
547.196576	548.144104	s burble
548.356825	548.530862	chuck
548.604331	548.828639	chuck
549.107098	550.101043	s whistle
550.131973	551.319297	s
553.287846	553.400000	chuck
553.488957	553.581769	chuck
553.655238	555.159683	s overlap
555.728209	556.656395	s
556.683469	557.368027	s
557.565261	557.731565	outside bird
558.025488	558.191791	chuck
558.323288	558.497324	chuck
558.984626	559.236009	outside bird
559.452585	560.477460	s
560.895147	561.154263	outside bird
563.157619	563.668118	s burble
563.722268	563.931111	noise
565.965397	566.317347	outside bird
566.464308	566.909070	outside bird
567.195261	567.338345	chuck
567.319025	568.138912	s
568.873741	569.090317	chuck
569.558277	569.825125	burble
570.339501	571.472676	s overlap
571.712449	572.710272	s
572.768277	574.102562	s overlap
574.400340	575.471633	s whistle
576.001474	576.152313	chuck
576.152313	576.279932	chuck
576.411429	576.635737	chuck
576.836848	577.103719	outside bird (?)
577.119184	577.266145	chuck
577.304830	577.679955	outside bird (?)
577.869478	578.167256	outside bird (?)
578.190476	579.362313	s overlap
579.621429	580.917029	s overlap
580.998254	581.752404	s
582.742472	582.931995	chuck
583.183379	583.396077	chuck
583.744150	584.096100	burble
584.281723	585.724308	s overlap
585.917664	586.718231	s
586.865193	587.433719	s
587.921020	588.064127	chuck
588.284558	588.462472	chuck
588.485669	588.617166	chuck
590.086803	590.724943	s
590.871905	591.378549	whistle
591.405601	592.418889	s overlap
592.751497	593.923333	s burble
594.646553	596.475873	s overlap
596.599615	597.663175	s
600.714603	601.310204	s
601.488095	602.091429	s
602.373764	603.445034	whistle
603.715760	603.866599	chuck
603.924603	604.083175	chuck
604.156667	604.315215	chuck
604.435125	604.647823	rattle
604.682630	605.328500	s whistle
605.641769	606.465535	s overlap
606.492608	607.389864	whistle
